NmPratoSopa;NmPratoSopaEN;NmPratoCarne;NmPratoCarneEN;NmPratoPeixe;NmPratoPeixeEN;NmPratoVegetariano;NmPratoVegetarianoEN;NmPratoSobremesa;NmPratoSobremesaEN;Observacoes;DescricaoCarne;DescricaoPeixe;DescricaoVegetariano;DescricaoEmenta;DescricaoEmentaPT;IDPratoSopaFK;IDPratoCarneFK;IDPratoPeixeFK;IDPratoVegetarianoFK;IDPratoSobremesaFK;ReservaAte;ReservasAtePenalizacaoValor;CancelamentoAte;CancelamentoAtePenalizacaoValor;Data;IDEmentaData;DataRefeicao;IDCantinaFK;IDTipoRefeicaoFK;DataRefeicaoOnly;Preco;NmCantina;IDPoloFK;NmPolo;NmTipoRefeicao;NmTipoRefeicaoEN;SopaPTEN;CarnePTEN;PeixePTEN;SobremesaPTEN;VegetarianoPTEN;ImprimePrecos
Juliana de legumes;Soup with mix vegetables;Costeleta de vitela;Grilled veal chop;Robalo;Grilled sea bass;;;Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€;Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€;;Juliana de legumes (Soup with mix vegetables)Costeleta de vitela (Grilled veal chop)Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€ (Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€);Juliana de legumes (Soup with mix vegetables)Robalo (Grilled sea bass)Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€ (Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€);Juliana de legumes (Soup with mix vegetables) ()Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€ (Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€);Juliana de legumes (Soup with mix vegetables)Costeleta de vitela (Grilled veal chop)Robalo (Grilled sea bass) ()Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€ (Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€);Juliana de legumes | Costeleta de vitela | Robalo |  | Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€;73;173;55;;18;30/12/2021;0,5;30/12/2021;0,5;30/12/2021;203;30/12/2021;1;1;2021-12-30;0;Cantina 1;1;IPG - Campus;Almoço;Lunch;Juliana de legumes | Soup with mix vegetables;Costeleta de vitela | Grilled veal chop;Robalo | Grilled sea bass;Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€ | Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€; | ;0
Abóbora c/ lombarda;Pumpkin soup with savoy cabbage;Alheira com ovo e batata frita;Bread and meat sausage with egg;Bacalhau à velha;Baked codfish;Arroz de lentilhas com cogumelos;Lentil rice with mushrooms;Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€;Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€;;Abóbora c/ lombarda (Pumpkin soup with savoy cabbage)Alheira com ovo e batata frita (Bread and meat sausage with egg)Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€ (Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€);Abóbora c/ lombarda (Pumpkin soup with savoy cabbage)Bacalhau à velha (Baked codfish)Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€ (Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€);Abóbora c/ lombarda (Pumpkin soup with savoy cabbage)Arroz de lentilhas com cogumelos (Lentil rice with mushrooms)Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€ (Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€);Abóbora c/ lombarda (Pumpkin soup with savoy cabbage)Alheira com ovo e batata frita (Bread and meat sausage with egg)Bacalhau à velha (Baked codfish)Arroz de lentilhas com cogumelos (Lentil rice with mushrooms)Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€ (Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€);Abóbora c/ lombarda | Alheira com ovo e batata frita | Bacalhau à velha | Arroz de lentilhas com cogumelos | Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€;236;141;191;63;18;17/02/2022;0,5;17/02/2022;0,5;17/02/2022;213;17/02/2022;1;1;2022-02-17;0;Cantina 1;1;IPG - Campus;Almoço;Lunch;Abóbora c/ lombarda | Pumpkin soup with savoy cabbage;Alheira com ovo e batata frita | Bread and meat sausage with egg;Bacalhau à velha | Baked codfish;Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€ | Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€;Arroz de lentilhas com cogumelos | Lentil rice with mushrooms;0
Cebola com massinhas;Onion soup with macaroni;;;Empadão de peixe;Pie hake;Arroz de legumes;Vegetable rice;Fruta;Fruit;;Cebola com massinhas (Onion soup with macaroni) ()Fruta (Fruit);Cebola com massinhas (Onion soup with macaroni)Empadão de peixe (Pie hake)Fruta (Fruit);Cebola com massinhas (Onion soup with macaroni)Arroz de legumes (Vegetable rice)Fruta (Fruit);Cebola com massinhas (Onion soup with macaroni) ()Empadão de peixe (Pie hake)Arroz de legumes (Vegetable rice)Fruta (Fruit);Cebola com massinhas |  | Empadão de peixe | Arroz de legumes | Fruta;165;;240;106;15;21/02/2022;0,5;21/02/2022;0,5;21/02/2022;215;21/02/2022;1;1;2022-02-21;0;Cantina 1;1;IPG - Campus;Almoço;Lunch;Cebola com massinhas | Onion soup with macaroni; | ;Empadão de peixe | Pie hake;Fruta | Fruit;Arroz de legumes | Vegetable rice;0
;;Cozido à portuguesa;Cozido à portuguesa;;;Arroz de lentilhas com cogumelos;Lentil rice with mushrooms;Fruta;Fruit;;()Cozido à portuguesa (Cozido à portuguesa)Fruta (Fruit);() ()Fruta (Fruit);()Arroz de lentilhas com cogumelos (Lentil rice with mushrooms)Fruta (Fruit);()Cozido à portuguesa (Cozido à portuguesa) ()Arroz de lentilhas com cogumelos (Lentil rice with mushrooms)Fruta (Fruit);| Cozido à portuguesa |  | Arroz de lentilhas com cogumelos | Fruta;;278;;63;15;22/02/2022;0,5;22/02/2022;0,5;22/02/2022;216;22/02/2022;1;1;2022-02-22;0;Cantina 1;1;IPG - Campus;Almoço;Lunch; | ;Cozido à portuguesa | Cozido à portuguesa; | ;Fruta | Fruit;Arroz de lentilhas com cogumelos | Lentil rice with mushrooms;0
Couve flor e cenoura;Cauliflower and carrot soup;Macarrones;Pasta with minced meat;Salmão cozido c/ molho holandês;Cooked salmon with butter and lemon sauce;Arroz de ervilhas com cogumelos;Rice peas with mushrooms;Fruta;Fruit;;Couve flor e cenoura (Cauliflower and carrot soup)Macarrones (Pasta with minced meat)Fruta (Fruit);Couve flor e cenoura (Cauliflower and carrot soup)Salmão cozido c/ molho holandês (Cooked salmon with butter and lemon sauce)Fruta (Fruit);Couve flor e cenoura (Cauliflower and carrot soup)Arroz de ervilhas com cogumelos (Rice peas with mushrooms)Fruta (Fruit);Couve flor e cenoura (Cauliflower and carrot soup)Macarrones (Pasta with minced meat)Salmão cozido c/ molho holandês (Cooked salmon with butter and lemon sauce)Arroz de ervilhas com cogumelos (Rice peas with mushrooms)Fruta (Fruit);Couve flor e cenoura | Macarrones | Salmão cozido c/ molho holandês | Arroz de ervilhas com cogumelos | Fruta;281;283;284;155;15;07/03/2022;0,5;07/03/2022;0,5;07/03/2022;223;07/03/2022;1;1;2022-03-07;0;Cantina 1;1;IPG - Campus;Almoço;Lunch;Couve flor e cenoura | Cauliflower and carrot soup;Macarrones | Pasta with minced meat;Salmão cozido c/ molho holandês | Cooked salmon with butter and lemon sauce;Fruta | Fruit;Arroz de ervilhas com cogumelos | Rice peas with mushrooms;0
Camponesa;Peasant soup;Lombo assado com arroz e batata frita;Baked pork loin with fries;Pescada à rosa do adro;Hake in the oven olive oil breadcrumbs and egg;Estufado de soja;Soybean stew;Pudim;Puding;;Camponesa (Peasant soup)Lombo assado com arroz e batata frita (Baked pork loin with fries)Pudim (Puding);Camponesa (Peasant soup)Pescada à rosa do adro (Hake in the oven olive oil breadcrumbs and egg)Pudim (Puding);Camponesa (Peasant soup)Estufado de soja (Soybean stew)Pudim (Puding);Camponesa (Peasant soup)Lombo assado com arroz e batata frita (Baked pork loin with fries)Pescada à rosa do adro (Hake in the oven olive oil breadcrumbs and egg)Estufado de soja (Soybean stew)Pudim (Puding);Camponesa | Lombo assado com arroz e batata frita | Pescada à rosa do adro | Estufado de soja | Pudim;247;171;43;4;193;08/03/2022;0,5;08/03/2022;0,5;08/03/2022;224;08/03/2022;1;1;2022-03-08;0;Cantina 1;1;IPG - Campus;Almoço;Lunch;Camponesa | Peasant soup;Lombo assado com arroz e batata frita | Baked pork loin with fries;Pescada à rosa do adro | Hake in the oven olive oil breadcrumbs and egg;Pudim | Puding;Estufado de soja | Soybean stew;0
Caldo verde;Soup of shredded kale in potato broth;Costeletas à salsicheiro c/ arroz de cenoura;Fried cutlets with sauce made with sausage and pickles;Empadão de peixe;Pie hake;Couscous vegetarianos;Vegetarian couscous;Fruta;Fruit;;Caldo verde (Soup of shredded kale in potato broth)Costeletas à salsicheiro c/ arroz de cenoura (Fried cutlets with sauce made with sausage and pickles)Fruta (Fruit);Caldo verde (Soup of shredded kale in potato broth)Empadão de peixe (Pie hake)Fruta (Fruit);Caldo verde (Soup of shredded kale in potato broth)Couscous vegetarianos (Vegetarian couscous)Fruta (Fruit);Caldo verde (Soup of shredded kale in potato broth)Costeletas à salsicheiro c/ arroz de cenoura (Fried cutlets with sauce made with sausage and pickles)Empadão de peixe (Pie hake)Couscous vegetarianos (Vegetarian couscous)Fruta (Fruit);Caldo verde | Costeletas à salsicheiro c/ arroz de cenoura | Empadão de peixe | Couscous vegetarianos | Fruta;138;288;240;34;15;09/03/2022;0,5;09/03/2022;0,5;09/03/2022;225;09/03/2022;1;1;2022-03-09;0;Cantina 1;1;IPG - Campus;Almoço;Lunch;Caldo verde | Soup of shredded kale in potato broth;Costeletas à salsicheiro c/ arroz de cenoura | Fried cutlets with sauce made with sausage and pickles;Empadão de peixe | Pie hake;Fruta | Fruit;Couscous vegetarianos | Vegetarian couscous;0
Agrião;Watercress soup; Lasanha à Bolonhesa;Lasagna Bolognese;Peixe cozido com legumes;Baked fish with vegetables;Lasanha vegetariana;Vegetarian lasagna;Iogurte;Yogurt;;Agrião (Watercress soup) Lasanha à Bolonhesa (Lasagna Bolognese)Iogurte (Yogurt);Agrião (Watercress soup)Peixe cozido com legumes (Baked fish with vegetables)Iogurte (Yogurt);Agrião (Watercress soup)Lasanha vegetariana (Vegetarian lasagna)Iogurte (Yogurt);Agrião (Watercress soup) Lasanha à Bolonhesa (Lasagna Bolognese)Peixe cozido com legumes (Baked fish with vegetables)Lasanha vegetariana (Vegetarian lasagna)Iogurte (Yogurt);Agrião |  Lasanha à Bolonhesa | Peixe cozido com legumes | Lasanha vegetariana | Iogurte;100;233;167;78;5;10/03/2022;0,5;10/03/2022;0,5;10/03/2022;226;10/03/2022;1;1;2022-03-10;0;Cantina 1;1;IPG - Campus;Almoço;Lunch;Agrião | Watercress soup; Lasanha à Bolonhesa | Lasagna Bolognese;Peixe cozido com legumes | Baked fish with vegetables;Iogurte | Yogurt;Lasanha vegetariana | Vegetarian lasagna;0
Couve coração;Soup with cabbage heart;;;Bacalhau à brás;Cod fish with onions and scramble eggs;Paella vegetariana;Vegetarian paella;Fruta;Fruit;;Couve coração (Soup with cabbage heart) ()Fruta (Fruit);Couve coração (Soup with cabbage heart)Bacalhau à brás (Cod fish with onions and scramble eggs)Fruta (Fruit);Couve coração (Soup with cabbage heart)Paella vegetariana (Vegetarian paella)Fruta (Fruit);Couve coração (Soup with cabbage heart) ()Bacalhau à brás (Cod fish with onions and scramble eggs)Paella vegetariana (Vegetarian paella)Fruta (Fruit);Couve coração |  | Bacalhau à brás | Paella vegetariana | Fruta;282;;89;44;15;11/03/2022;0,5;11/03/2022;0,5;11/03/2022;227;11/03/2022;1;1;2022-03-11;0;Cantina 1;1;IPG - Campus;Almoço;Lunch;Couve coração | Soup with cabbage heart; | ;Bacalhau à brás | Cod fish with onions and scramble eggs;Fruta | Fruit;Paella vegetariana | Vegetarian paella;0
Abóbora com brócolos;Pumpkin soup with broccoli;Hambúrguer com ovo estrelado e batata frita;Burger with fried egg and chips;Pescada à marinheiro;"""seaman"" hake";Esparguete com soja e molho de tomate;Spaghetti with soy and tomato sauce;Fruta;Fruit;;Abóbora com brócolos (Pumpkin soup with broccoli)Hambúrguer com ovo estrelado e batata frita (Burger with fried egg and chips)Fruta (Fruit);"Abóbora com brócolos (Pumpkin soup with broccoli)Pescada à marinheiro (""seaman"" hake)Fruta (Fruit)";Abóbora com brócolos (Pumpkin soup with broccoli)Esparguete com soja e molho de tomate (Spaghetti with soy and tomato sauce)Fruta (Fruit);"Abóbora com brócolos (Pumpkin soup with broccoli)Hambúrguer com ovo estrelado e batata frita (Burger with fried egg and chips)Pescada à marinheiro (""seaman"" hake)Esparguete com soja e molho de tomate (Spaghetti with soy and tomato sauce)Fruta (Fruit)";Abóbora com brócolos | Hambúrguer com ovo estrelado e batata frita | Pescada à marinheiro | Esparguete com soja e molho de tomate | Fruta;1;24;295;189;15;14/03/2022;0,5;14/03/2022;0,5;14/03/2022;228;14/03/2022;1;1;2022-03-14;0;Cantina 1;1;IPG - Campus;Almoço;Lunch;Abóbora com brócolos | Pumpkin soup with broccoli;Hambúrguer com ovo estrelado e batata frita | Burger with fried egg and chips;"Pescada à marinheiro | ""seaman"" hake";Fruta | Fruit;Esparguete com soja e molho de tomate | Spaghetti with soy and tomato sauce;0
Hortaliça;Vegetables soup;Espetadas de peru c/ massa espiral;Turkey brochette with pasta;Salada de atum c/ feijão frade;Tuna salad with black eyed beans;Paella vegetariana;Vegetarian paella;Gelatina;Gelatin;;Hortaliça (Vegetables soup)Espetadas de peru c/ massa espiral (Turkey brochette with pasta)Gelatina (Gelatin);Hortaliça (Vegetables soup)Salada de atum c/ feijão frade (Tuna salad with black eyed beans)Gelatina (Gelatin);Hortaliça (Vegetables soup)Paella vegetariana (Vegetarian paella)Gelatina (Gelatin);Hortaliça (Vegetables soup)Espetadas de peru c/ massa espiral (Turkey brochette with pasta)Salada de atum c/ feijão frade (Tuna salad with black eyed beans)Paella vegetariana (Vegetarian paella)Gelatina (Gelatin);Hortaliça | Espetadas de peru c/ massa espiral | Salada de atum c/ feijão frade | Paella vegetariana | Gelatina;11;296;297;44;49;15/03/2022;0,5;15/03/2022;0,5;15/03/2022;229;15/03/2022;1;1;2022-03-15;0;Cantina 1;1;IPG - Campus;Almoço;Lunch;Hortaliça | Vegetables soup;Espetadas de peru c/ massa espiral | Turkey brochette with pasta;Salada de atum c/ feijão frade | Tuna salad with black eyed beans;Gelatina | Gelatin;Paella vegetariana | Vegetarian paella;0
Peixe;Fish soup;Febras de cebolada c / puré;Pork steak of onion with mashed potatoes;Solha frita com arroz de tomate;Fried plaice with tomato rice;Arroz primaveril c/ soja;Soybean rice;Fruta;Fruit;;Peixe (Fish soup)Febras de cebolada c / puré (Pork steak of onion with mashed potatoes)Fruta (Fruit);Peixe (Fish soup)Solha frita com arroz de tomate (Fried plaice with tomato rice)Fruta (Fruit);Peixe (Fish soup)Arroz primaveril c/ soja (Soybean rice)Fruta (Fruit);Peixe (Fish soup)Febras de cebolada c / puré (Pork steak of onion with mashed potatoes)Solha frita com arroz de tomate (Fried plaice with tomato rice)Arroz primaveril c/ soja (Soybean rice)Fruta (Fruit);Peixe | Febras de cebolada c / puré | Solha frita com arroz de tomate | Arroz primaveril c/ soja | Fruta;56;222;62;298;15;16/03/2022;0,5;16/03/2022;0,5;16/03/2022;230;16/03/2022;1;1;2022-03-16;0;Cantina 1;1;IPG - Campus;Almoço;Lunch;Peixe | Fish soup;Febras de cebolada c / puré | Pork steak of onion with mashed potatoes;Solha frita com arroz de tomate | Fried plaice with tomato rice;Fruta | Fruit;Arroz primaveril c/ soja | Soybean rice;0
Grão c/ hortaliça;Cheackpeas soup with vegetables;Carne de porco à alentejana;Fried pork meat with clams and chips;Massada de marisco;Pasta with seafood;Couscous vegetarianos;Vegetarian couscous;Iogurte;Yogurt;;Grão c/ hortaliça (Cheackpeas soup with vegetables)Carne de porco à alentejana (Fried pork meat with clams and chips)Iogurte (Yogurt);Grão c/ hortaliça (Cheackpeas soup with vegetables)Massada de marisco (Pasta with seafood)Iogurte (Yogurt);Grão c/ hortaliça (Cheackpeas soup with vegetables)Couscous vegetarianos (Vegetarian couscous)Iogurte (Yogurt);Grão c/ hortaliça (Cheackpeas soup with vegetables)Carne de porco à alentejana (Fried pork meat with clams and chips)Massada de marisco (Pasta with seafood)Couscous vegetarianos (Vegetarian couscous)Iogurte (Yogurt);Grão c/ hortaliça | Carne de porco à alentejana | Massada de marisco | Couscous vegetarianos | Iogurte;299;2;300;34;5;17/03/2022;0,5;17/03/2022;0,5;17/03/2022;231;17/03/2022;1;1;2022-03-17;0;Cantina 1;1;IPG - Campus;Almoço;Lunch;Grão c/ hortaliça | Cheackpeas soup with vegetables;Carne de porco à alentejana | Fried pork meat with clams and chips;Massada de marisco | Pasta with seafood;Iogurte | Yogurt;Couscous vegetarianos | Vegetarian couscous;0
Canja de galinha;Chicken broth;;;Filetes no forno c/ arroz de ervilhas;Fillets in the oven with rice peas;Legumes assados com batata assada;Vegetables roasted in the oven with potatoes;Fruta;Fruit;;Canja de galinha (Chicken broth) ()Fruta (Fruit);Canja de galinha (Chicken broth)Filetes no forno c/ arroz de ervilhas (Fillets in the oven with rice peas)Fruta (Fruit);Canja de galinha (Chicken broth)Legumes assados com batata assada (Vegetables roasted in the oven with potatoes)Fruta (Fruit);Canja de galinha (Chicken broth) ()Filetes no forno c/ arroz de ervilhas (Fillets in the oven with rice peas)Legumes assados com batata assada (Vegetables roasted in the oven with potatoes)Fruta (Fruit);Canja de galinha |  | Filetes no forno c/ arroz de ervilhas | Legumes assados com batata assada | Fruta;114;;301;75;15;18/03/2022;0,5;18/03/2022;0,5;18/03/2022;232;18/03/2022;1;1;2022-03-18;0;Cantina 1;1;IPG - Campus;Almoço;Lunch;Canja de galinha | Chicken broth; | ;Filetes no forno c/ arroz de ervilhas | Fillets in the oven with rice peas;Fruta | Fruit;Legumes assados com batata assada | Vegetables roasted in the oven with potatoes;0
Creme de cenoura;Carrot cream;Bifes grelhados c/ arroz de cenoura;Grilled steaks with carrot rice;Coroa de atum com ovos mexidos;Crown of tuna w/ rice and scrambled eggs;Grão guisado com legumes;Chickpea stew vegetables;Fruta;Fruit;;Creme de cenoura (Carrot cream)Bifes grelhados c/ arroz de cenoura (Grilled steaks with carrot rice)Fruta (Fruit);Creme de cenoura (Carrot cream)Coroa de atum com ovos mexidos (Crown of tuna w/ rice and scrambled eggs)Fruta (Fruit);Creme de cenoura (Carrot cream)Grão guisado com legumes (Chickpea stew vegetables)Fruta (Fruit);Creme de cenoura (Carrot cream)Bifes grelhados c/ arroz de cenoura (Grilled steaks with carrot rice)Coroa de atum com ovos mexidos (Crown of tuna w/ rice and scrambled eggs)Grão guisado com legumes (Chickpea stew vegetables)Fruta (Fruit);Creme de cenoura | Bifes grelhados c/ arroz de cenoura | Coroa de atum com ovos mexidos | Grão guisado com legumes | Fruta;37;302;13;104;15;21/03/2022;0,5;21/03/2022;0,5;21/03/2022;238;21/03/2022;1;1;2022-03-21;0;Cantina 1;1;IPG - Campus;Almoço;Lunch;Creme de cenoura | Carrot cream;Bifes grelhados c/ arroz de cenoura | Grilled steaks with carrot rice;Coroa de atum com ovos mexidos | Crown of tuna w/ rice and scrambled eggs;Fruta | Fruit;Grão guisado com legumes | Chickpea stew vegetables;0
Alho francês;French garlic soup;Almôndegas com puré;Meatballs stew with mashed potatoes;Feijoada de chocos;Bean and cuttlefish stew;Arroz de lentilhas com cogumelos;Lentil rice with mushrooms;Fruta;Fruit;;Alho francês (French garlic soup)Almôndegas com puré (Meatballs stew with mashed potatoes)Fruta (Fruit);Alho francês (French garlic soup)Feijoada de chocos (Bean and cuttlefish stew)Fruta (Fruit);Alho francês (French garlic soup)Arroz de lentilhas com cogumelos (Lentil rice with mushrooms)Fruta (Fruit);Alho francês (French garlic soup)Almôndegas com puré (Meatballs stew with mashed potatoes)Feijoada de chocos (Bean and cuttlefish stew)Arroz de lentilhas com cogumelos (Lentil rice with mushrooms)Fruta (Fruit);Alho francês | Almôndegas com puré | Feijoada de chocos | Arroz de lentilhas com cogumelos | Fruta;158;28;8;63;15;22/03/2022;0,5;22/03/2022;0,5;22/03/2022;239;22/03/2022;1;1;2022-03-22;0;Cantina 1;1;IPG - Campus;Almoço;Lunch;Alho francês | French garlic soup;Almôndegas com puré | Meatballs stew with mashed potatoes;Feijoada de chocos | Bean and cuttlefish stew;Fruta | Fruit;Arroz de lentilhas com cogumelos | Lentil rice with mushrooms;0
Juliana de legumes;Soup with mix vegetables;Frango assado com arroz e batata frita;Roast chicken with rice and fries;Red fish com batata assada;Red fish with roasted potato;Salada de couscous;Couscous salad;Gelatina;Gelatin;;Juliana de legumes (Soup with mix vegetables)Frango assado com arroz e batata frita (Roast chicken with rice and fries)Gelatina (Gelatin);Juliana de legumes (Soup with mix vegetables)Red fish com batata assada (Red fish with roasted potato)Gelatina (Gelatin);Juliana de legumes (Soup with mix vegetables)Salada de couscous (Couscous salad)Gelatina (Gelatin);Juliana de legumes (Soup with mix vegetables)Frango assado com arroz e batata frita (Roast chicken with rice and fries)Red fish com batata assada (Red fish with roasted potato)Salada de couscous (Couscous salad)Gelatina (Gelatin);Juliana de legumes | Frango assado com arroz e batata frita | Red fish com batata assada | Salada de couscous | Gelatina;73;108;93;204;49;23/03/2022;0,5;23/03/2022;0,5;23/03/2022;240;23/03/2022;1;1;2022-03-23;0;Cantina 1;1;IPG - Campus;Almoço;Lunch;Juliana de legumes | Soup with mix vegetables;Frango assado com arroz e batata frita | Roast chicken with rice and fries;Red fish com batata assada | Red fish with roasted potato;Gelatina | Gelatin;Salada de couscous | Couscous salad;0
